 CÓDIGO ;MUNICÍPIOS;ANO DE INSTA-LAÇÃO;ALTITUDE (m);DISTÂNCIA RODOVIÁRIA DE MACEIÓ (Km);Latitude;Longitude;CLIMA;Temperatua Máxima;Temperatura Mínima;;;
2700102;Água Branca;1875;570;304,0;"- 09º 15' 39""";"-37º 56' 10""";Tropical chuvoso com verão seco e inverno chuvoso;32º;16º;;;
2700201;Anadia;1801;153;99,6;"- 09º 41' 04""";"-36º 18' 15""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;30º;22º;;;
2700300;Arapiraca;1924;264;135,7;"- 09º 45' 09""";"-36º 39' 40""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;37º;31º;;;
2700409;Atalaia;1764;54;48,0;"- 09º 30' 07""";"-36º 01' 22""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;30º;22º;;;
2700508;Barra de Santo Antônio;1960;10;37,0;"- 09º 24' 17""";"-35º 30' 26""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;36º;23º;;;
2700607;Barra de São Miguel;1963;2;36,2;"- 09º 50' 24""";"-35º 54' 28""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;30º;22º;;; 
2700706;Batalha;1947;120;186,7;"- 09º 40' 40""";"-37º 07' 29""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;39º;22º;;;
2700805;Belém;1962;311;111,9;"- 09º 34' 16""";"-36º 29' 32""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;33º;24º;;;
2700904;Belo Monte;1958;30;216,3;"- 09º 49' 42""";"-37º 16' 48""";Quente, semi-árido, tipo estepe. Estação chuvosa no outono/inverno;38º;22º;;;
2701001;Boca da Mata;1958;132;68,6;"- 09º 38' 29""";"-36º 13' 13""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;37º;22º;;;
2701100;Branquinha;1962;100;56,0;"- 09º 14' 44""";"-36º 00' 55""";Tropical chuvoso com verão seco. Estação chuvosa no outono/inverno;34º;20º;;;
